lad17cd,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
E06000001,5653,6278,5955,5622,5033,5373,6463,7267,6464,5595,5837,4236,4236
E06000002,8485,10064,11690,9765,8295,8135,8984,9899,9233,7933,7531,5680,5680
E06000003,7803,8835,8092,7628,6987,7654,9479,10398,9429,8458,9511,7776,7776
E06000004,11457,12819,12651,12602,11445,12003,14087,14644,13399,11609,11648,8745,8745
E06000005,6224,6408,6071,6607,6429,6847,7641,7994,7258,6308,6685,5205,5205
E06000006,7577,8082,8024,8141,7666,8304,9034,9280,8768,8144,8508,5765,5765
E06000007,12296,12507,12088,12503,12185,14120,16022,16591,13569,11828,12441,9980,9980
E06000008,10322,10218,9718,10951,9907,10137,10818,9901,8934,7882,7884,5689,5689
E06000009,8052,8648,8529,8580,7756,8609,10489,11025,9654,8415,9415,7729,7729
E06000010,13944,17416,24040,20274,17303,17229,17576,18022,15949,13746,13844,9635,9635
E06000011,18625,20396,15779,15073,15931,20033,24381,26056,23938,22412,27070,21068,21068
E06000012,9264,10271,10521,9987,8703,9769,11330,11973,10683,9621,10236,7815,7815
E06000013,9550,10155,9522,9969,9114,10180,12373,12862,11649,10922,11452,9017,9017
E06000014,9712,14097,19746,14159,12552,12510,13756,13697,12017,10649,11716,9122,9122
E06000015,14857,16728,20069,18211,16563,16723,18012,17620,14612,12376,12586,10169,10169
E06000016,20162,24490,35406,29571,25272,21955,20940,20240,18953,16501,14056,9977,9977
E06000017,2352,2895,1740,1907,1855,2145,2686,2642,2517,2362,2715,2331,2331
E06000018,15860,27059,42766,26232,22433,19441,19645,18502,15772,13404,12626,9313,9313
E06000019,10494,10684,9431,9681,9606,10411,12832,14020,12677,12261,13604,11418,11418
E06000020,10594,11496,10863,10888,10334,11145,12850,12653,10502,9866,10010,7934,7934
E06000021,14260,16035,19089,18156,15829,16113,17810,17353,15534,14009,14721,11616,11616
E06000022,9568,13282,15995,10141,9478,10726,12196,12824,11115,10134,10802,8803,8803
E06000023,21703,27041,44371,40752,36418,30435,28307,27076,23319,20392,20078,15222,15222
E06000024,11579,11326,9491,10363,10691,12598,14997,15404,13428,12725,14654,12468,12468
E06000025,15858,17599,15458,15606,15863,17402,20709,21310,17270,15002,15748,13465,13465
E06000026,13645,17804,24343,18888,15402,15537,17723,17582,16367,13955,15140,12156,12156
E06000027,7092,7569,6779,6700,6140,7060,8855,9547,8809,8418,10169,8594,8594
E06000028,8399,11390,17130,14935,14309,12392,12369,12284,10361,9285,10190,8048,8048
E06000029,7924,8620,8180,8712,8835,9331,10689,11078,9486,8771,9828,8011,8011
E06000030,12433,12424,12859,15075,15172,16297,16869,16371,13822,11634,10990,8453,8453
E06000031,11349,11498,12502,15046,14112,12914,13289,12677,11014,9642,9382,6909,6909
E06000032,13211,13561,16621,18812,16064,14066,13796,13538,11225,9267,8346,6542,6542
E06000033,10194,10184,9832,11282,11623,12223,13083,12755,10887,9667,10419,8468,8468
E06000034,9949,9853,9804,11162,11808,12200,12558,11535,9453,8387,8739,5996,5996
E06000035,16765,19031,19041,17581,17246,17313,19762,19699,17205,14632,15454,11597,11597
E06000036,7082,7231,6349,7721,8414,8792,9425,9181,7911,6347,5833,4213,4213
E06000037,9914,9633,7341,8506,9306,11109,12595,12486,10965,9506,9753,7406,7406
E06000038,7968,9809,14574,15113,15244,12158,11104,9910,8269,6851,6373,4902,4902
E06000039,9034,8574,9574,13351,14201,11608,10093,8993,7631,6391,5160,3536,3536
E06000040,8863,8343,7111,8841,9678,10626,11645,11195,9379,8161,8692,6943,6943
E06000041,9740,9487,7428,8071,9782,11499,12460,12780,11173,9163,9426,7337,7337
E06000042,15805,14720,14056,19596,20960,19498,19090,17930,16011,14099,13169,8872,8872
E06000043,13412,18039,28129,22998,21959,21789,21905,20443,15345,12638,12714,9535,9535
E06000044,10927,15956,22761,16991,13860,13384,14280,13848,11926,9312,9820,7655,7655
E06000045,11555,17942,29384,21785,18600,15686,14602,14797,12716,10839,10946,8647,8647
E06000046,7968,8190,6808,6690,6340,7313,9523,10017,9307,9207,10994,9742,9742
E06000047,27869,33267,35155,30628,28133,30498,37519,39537,35713,32950,35395,27874,27874
E06000049,21383,22079,18615,19020,19532,24129,28386,29831,26124,23275,26443,21074,21074
E06000050,18737,20105,19511,18796,18085,21296,24677,25698,22851,20573,22686,17832,17832
E06000051,17915,18951,16619,15619,15405,17790,22163,23574,21004,20160,22300,19059,19059
E06000052,29972,31800,28357,26373,26702,30276,36620,38486,36853,35543,42611,35224,35224
E06000053,114,56,111,135,127,130,170,175,155,142,172,164,164
E06000054,29276,29197,24720,25471,25078,30389,36130,36817,32734,28863,31246,25135,25135
E06000055,9955,10450,9640,10134,10394,10601,11843,11693,10206,8917,9303,7045,7045
E06000056,15480,15335,13598,14484,15621,17853,20123,21076,18150,15504,16292,12435,12435
E06000057,17677,18464,16224,16187,16121,17907,22128,24842,24121,22172,24533,19062,19062
E07000004,11267,10884,8763,9872,10928,12149,14083,14497,12564,10464,10741,7930,7930
E07000005,6339,5559,3693,3706,4400,5718,7006,7785,7072,5792,6264,5130,5130
E07000006,4090,3897,3114,3414,3464,4057,5202,5412,5002,4233,4283,3437,3437
E07000007,10856,10828,10404,10615,11127,11989,13274,12770,10900,9930,9954,8192,8192
