location,fullname,size
0,E06000001,74012
1,E06000002,111374
2,E06000003,109826
3,E06000004,155854
4,E06000005,84882
5,E06000006,103058
6,E06000007,166110
7,E06000008,118050
8,E06000009,114630
9,E06000010,208613
10,E06000011,271830
11,E06000012,127988
12,E06000013,135782
13,E06000014,162855
14,E06000015,198695
15,E06000016,267500
16,E06000017,30478
17,E06000018,252366
18,E06000019,148537
19,E06000020,137069
20,E06000021,202141
21,E06000022,143867
22,E06000023,350336
23,E06000024,162192
24,E06000025,214755
25,E06000026,210698
26,E06000027,104326
27,E06000028,149140
28,E06000029,117476
29,E06000030,170852
30,E06000031,147243
31,E06000032,161591
32,E06000033,139085
33,E06000034,127440
34,E06000035,216923
35,E06000036,92712
36,E06000037,125926
37,E06000038,127177
38,E06000039,111682
39,E06000040,116420
40,E06000041,125683
41,E06000042,202678
42,E06000043,228441
43,E06000044,168375
44,E06000045,196146
45,E06000046,111841
46,E06000047,422412
47,E06000049,300965
48,E06000050,268679
49,E06000051,249618
50,E06000052,434041
51,E06000053,1815
52,E06000054,380191
53,E06000055,127226
54,E06000056,208386
55,E06000057,258500
56,E07000004,142072
57,E07000005,73594
58,E07000006,53042
59,E07000007,139031
60,E07000008,105154
61,E07000009,67467
62,E07000010,76927
63,E07000011,140156
64,E07000012,120722
65,E07000026,78586
66,E07000027,56728
67,E07000028,87378
68,E07000029,58023
69,E07000030,43013
70,E07000031,84116
71,E07000032,101177
72,E07000033,62512
73,E07000034,84952
74,E07000035,58220
75,E07000036,91531
76,E07000037,75261
77,E07000038,81531
78,E07000039,78127
79,E07000040,102965
80,E07000041,96722
81,E07000042,62738
82,E07000043,75354
83,E07000044,67820
84,E07000045,99973
85,E07000046,51987
86,E07000047,43627
87,E07000048,36236
88,E07000049,67618
89,E07000050,55042
90,E07000051,36160
91,E07000052,78784
92,E07000053,53078
93,E07000061,77615
94,E07000062,73561
95,E07000063,77029
96,E07000064,70122
97,E07000065,119053
98,E07000066,140323
99,E07000067,119311
100,E07000068,58971
101,E07000069,72040
102,E07000070,137245
103,E07000071,142116
104,E07000072,100764
105,E07000073,64974
106,E07000074,51021
107,E07000075,67575
108,E07000076,107962
109,E07000077,64679
110,E07000078,94408
111,E07000079,66897
112,E07000080,67381
113,E07000081,98919
114,E07000082,91671
115,E07000083,66161
116,E07000084,137746
117,E07000085,93878
118,E07000086,101608
119,E07000087,90583
120,E07000088,66262
121,E07000089,74082
122,E07000090,96179
123,E07000091,138698
124,E07000092,77000
125,E07000093,94974
126,E07000094,94125
127,E07000095,75236
128,E07000096,116386
129,E07000098,79977
130,E07000099,101875
131,E07000102,69931
132,E07000103,73270
133,E07000105,95249
134,E07000106,123580
135,E07000107,78449
136,E07000108,90469
137,E07000109,81770
138,E07000110,126285
139,E07000111,91953
140,E07000112,86819
141,E07000113,110853
142,E07000114,106255
143,E07000115,97439
144,E07000116,92664
145,E07000117,70361
146,E07000118,88915
147,E07000119,60249
148,E07000120,65536
149,E07000121,113683
150,E07000122,71891
151,E07000123,114301
152,E07000124,46611
153,E07000125,55937
154,E07000126,89223
155,E07000127,90817
156,E07000128,85608
157,E07000129,76322
158,E07000130,137567
159,E07000131,69769
160,E07000132,86502
161,E07000133,41300
162,E07000134,76740
163,E07000135,45204
164,E07000136,52301
165,E07000137,111185
166,E07000138,77816
167,E07000139,87905
168,E07000140,70748
169,E07000141,109400
170,E07000142,73648
171,E07000143,104684
172,E07000144,100400
173,E07000145,78670
174,E07000146,117809
175,E07000147,80247
176,E07000148,108561
177,E07000149,100174
178,E07000150,50052
179,E07000151,64582
180,E07000152,71017
181,E07000153,75914
182,E07000154,172133
183,E07000155,70326
184,E07000156,61352
185,E07000163,44953
186,E07000164,72511
187,E07000165,126978
188,E07000166,42763
189,E07000167,42049
190,E07000168,87509
