strain	location	time
200	China	2020-01-01
197	China	2020-01-08
191	China	2020-01-14
131	China	2020-02-06
109	China	2020-02-22
19	China	2020-03-24
71	China	2020-03-17
110	China	2020-02-20
45	China	2020-03-22
78	China	2020-03-14
170	China	2020-01-26
90	China	2020-03-09
168	China	2020-01-26
4	China	2020-03-26
77	China	2020-03-14
196	China	2020-01-09
194	China	2020-01-11
183	China	2020-01-18
164	China	2020-01-28
12	China	2020-03-25
69	China	2020-03-17
182	China	2020-01-19
64	China	2020-03-18
142	China	2020-02-02
35	China	2020-03-23
55	China	2020-03-20
193	China	2020-01-13
190	China	2020-01-15
178	China	2020-01-21
5	China	2020-03-26
152	China	2020-02-01
52	China	2020-03-20
147	China	2020-02-02
60	China	2020-03-19
106	China	2020-02-24
34	China	2020-03-23
59	China	2020-03-19
186	China	2020-01-17
167	China	2020-01-26
50	China	2020-03-21
165	China	2020-01-28
68	China	2020-03-17
146	China	2020-02-02
0	China	2020-03-26
111	China	2020-02-20
10	China	2020-03-25
91	China	2020-03-08
181	China	2020-01-19
151	China	2020-02-01
116	China	2020-02-14
17	China	2020-03-24
61	China	2020-03-19
124	China	2020-02-09
2	China	2020-03-26
115	China	2020-02-14
38	China	2020-03-23
57	China	2020-03-20
173	China	2020-01-22
96	China	2020-03-03
102	China	2020-02-27
94	China	2020-03-06
97	China	2020-03-02
192	China	2020-01-14
44	China	2020-03-22
189	China	2020-01-15
184	China	2020-01-18
158	China	2020-01-30
16	China	2020-03-25
154	China	2020-01-30
26	China	2020-03-24
144	China	2020-02-02
132	China	2020-02-06
27	China	2020-03-24
101	China	2020-02-27
134	China	2020-02-06
108	China	2020-02-23
11	China	2020-03-25
99	China	2020-02-29
127	China	2020-02-09
21	China	2020-03-24
37	China	2020-03-23
174	China	2020-01-22
49	China	2020-03-21
162	China	2020-01-28
149	China	2020-02-01
76	China	2020-03-14
120	China	2020-02-11
29	China	2020-03-23
119	China	2020-02-12
25	China	2020-03-24
54	China	2020-03-20
159	China	2020-01-29
62	China	2020-03-19
98	China	2020-03-01
188	China	2020-01-16
177	China	2020-01-21
66	China	2020-03-18
166	China	2020-01-27
82	China	2020-03-13
156	China	2020-01-30
130	China	2020-02-07
3	China	2020-03-26
123	China	2020-02-10
92	China	2020-03-08
103	China	2020-02-26
148	China	2020-02-02
137	China	2020-02-05
14	China	2020-03-25
126	China	2020-02-09
36	China	2020-03-23
72	China	2020-03-16
141	China	2020-02-03
129	China	2020-02-07
39	China	2020-03-22
80	China	2020-03-13
133	China	2020-02-06
33	China	2020-03-23
43	Korea, Dem. People's Rep.	2020-03-22
179	China	2020-01-20
150	China	2020-02-01
138	China	2020-02-05
41	Korea, Rep.	2020-03-22
117	China	2020-02-14
13	China	2020-03-25
56	China	2020-03-20
145	China	2020-02-02
32	China	2020-03-23
88	China	2020-03-10
6	China	2020-03-26
24	China	2020-03-24
176	China	2020-01-22
48	China	2020-03-21
7	China	2020-03-26
31	China	2020-03-23
161	China	2020-01-28
53	China	2020-03-20
155	China	2020-01-30
63	China	2020-03-19
70	China	2020-03-17
195	China	2020-01-10
172	China	2020-01-24
128	China	2020-02-08
51	China	2020-03-20
121	China	2020-02-11
65	China	2020-03-18
113	China	2020-02-19
89	China	2020-03-09
93	China	2020-03-06
140	China	2020-02-03
81	China	2020-03-13
95	China	2020-03-05
74	China	2020-03-15
85	China	2020-03-11
185	China	2020-01-17
22	China	2020-03-24
125	China	2020-02-09
105	China	2020-02-25
79	China	2020-03-13
104	China	2020-02-25
40	China	2020-03-22
84	China	2020-03-11
122	China	2020-02-11
42	China	2020-03-22
118	China	2020-02-13
47	China	2020-03-21
83	China	2020-03-11
199	China	2020-01-06
28	China	2020-03-24
198	China	2020-01-07
75	China	2020-03-15
187	China	2020-01-17
46	China	2020-03-21
180	China	2020-01-19
171	China	2020-01-26
157	China	2020-01-30
23	China	2020-03-24
153	China	2020-01-31
169	China	2020-01-26
1	China	2020-03-26
163	China	2020-01-28
86	China	2020-03-10
160	China	2020-01-29
135	China	2020-02-05
30	China	2020-03-23
67	China	2020-03-17
139	China	2020-02-04
87	China	2020-03-10
114	China	2020-02-17
15	China	2020-03-25
112	China	2020-02-19
175	China	2020-01-22
8	China	2020-03-26
143	China	2020-02-02
100	China	2020-02-28
18	China	2020-03-24
58	China	2020-03-19
136	China	2020-02-05
73	China	2020-03-16
107	China	2020-02-23
9	China	2020-03-26
20	China	2020-03-24
