Node	Time	Old_population	New_population
67	0.7715433011896441	79	52
272	0.7604714173348548	195	176
596	0.7589930528466556	133	195
685	0.7399787913992572	64	86
398	0.727485141805498	64	195
583	0.718652672219778	133	101
41	0.7174407665594633	195	24
443	0.7134590546726901	195	30
44	0.7057999928866726	86	14
177	0.7005614048762269	59	195
591	0.6990824244866087	0	1
768	0.6989505917224735	195	81
647	0.6922670545276481	195	40
586	0.6914356319075392	183	167
102	0.6907376097344243	30	41
661	0.6893722058549627	195	101
496	0.6827538130710793	195	93
997	0.6821273562290521	84	64
854	0.6807951341962803	199	39
793	0.6803346859343294	195	91
955	0.6797078183380358	24	5
578	0.6788650438856397	50	46
598	0.676420564889284	0	86
1013	0.6761228326988773	24	196
164	0.6755132546180855	79	195
19	0.6752768999295391	195	41
701	0.6750787956404931	195	64
994	0.6744704094626028	6	24
714	0.6740973662411306	160	0
391	0.6723588238896353	24	56
926	0.671330957734806	54	187
702	0.6713090505369501	46	195
84	0.670102291691439	79	195
347	0.6698651649640666	133	195
1078	0.6697563260011106	6	133
424	0.669534250274338	56	3
990	0.6657428042618306	138	54
872	0.6657189428933096	0	86
507	0.6644813361527726	138	67
680	0.6644785744099352	195	133
289	0.6640767398148217	133	40
368	0.6629927055130448	133	195
485	0.6623129194124611	41	30
20	0.6618590257139237	133	30
1036	0.6618058912977032	62	0
373	0.6591021120266409	24	152
287	0.6576999032853569	115	62
34	0.6556178434939239	93	101
679	0.6551560615819632	199	195
1165	0.6541239908692931	206	207
1145	0.6531187130834195	93	195
513	0.652941893906197	40	195
221	0.6529299920009128	64	0
1038	0.6527181666095223	150	93
859	0.6524654850426725	79	24
131	0.6516781905224552	168	46
1005	0.6515529860462654	199	195
212	0.6512663417135078	15	194
511	0.6503117824665381	30	133
73	0.6499947799183141	39	195
1158	0.6495893968276217	199	195
936	0.6494544437451215	133	195
645	0.6491622513424349	195	9
769	0.6482757108041919	166	58
672	0.6475420639239061	133	93
694	0.6466583099860542	46	80
1234	0.6456499554284325	64	24
805	0.6453915791725521	162	86
182	0.6448442077250935	23	24
766	0.6442811364227266	24	0
283	0.6439160058302984	0	14
1096	0.6436458615802244	146	40
334	0.6433767791500087	195	73
55	0.6428127795814962	195	24
1070	0.6412972027532783	195	141
1010	0.6405187839942679	24	39
865	0.6397732363418148	82	189
1175	0.6374210042304395	195	133
1214	0.6369462782649196	133	195
400	0.6368103794893526	85	92
442	0.6365015560845431	0	202
579	0.6359736725945201	93	9
915	0.6354315078780323	0	151
828	0.6350718580650903	133	24
428	0.6341130068958001	6	24
686	0.6337811156774548	30	93
174	0.6334071001335453	150	93
902	0.6333657791309772	24	56
641	0.6332933045498546	152	46
264	0.6325701742198336	5	41
650	0.6325692316630124	166	111
1251	0.632014559104117	133	195
483	0.6319549030354877	0	158
947	0.6317699462673644	195	79
229	0.6303448618327154	90	195
382	0.6299503239872799	0	86
1030	0.6296578900037466	0	86
1281	0.6290785604982264	24	6
1298	0.6290220127397235	30	195
611	0.6286954381723106	24	195
983	0.627651311423853	79	195
658	0.6272808583540214	199	133
378	0.626693375708671	36	24
250	0.6264523545607296	83	100
763	0.6259039544990158	24	6
439	0.6251169104911021	195	150
724	0.6247066437721512	9	83
158	0.6237483236879748	0	87
1100	0.6234895312200103	94	37
290	0.6230117932662615	64	80
190	0.6228468682852965	54	57
1192	0.622745241890774	114	54
567	0.6221085556362884	79	195
957	0.6214348280269255	138	64
201	0.6209460603293498	74	195
806	0.6206924581726107	195	183
819	0.6204559990741955	93	160
89	0.6201065069115922	0	160
538	0.6193560102094258	81	195
767	0.6192201181435207	133	24
592	0.6190378047182021	199	195
1321	0.6183669642089776	6	24
1107	0.6179784389798724	39	195
302	0.6179119351202659	195	36
585	0.6177217436813977	129	54
856	0.6171727414672598	0	86
1282	0.6165644546069127	138	57
1099	0.6162524967445018	39	52
100	0.6162034983160395	189	86
328	0.6156071235144827	62	24
449	0.615492628208769	64	115
1331	0.6148001822311793	142	86
343	0.6145760740015772	154	5
