alpha2,proportion
AO,0.02450332689473859
AU,0.0077449416473003305
AT,2.9907472313224986e-05
BW,0.000916925805349244
BR,0.00011546101667967194
CM,0.015977435269808937
CA,0.006688079560712898
CL,0.0004555109940450801
CN,4.09730591904181e-06
HR,9.864899820219055e-05
EE,0.2300557131346307
ET,0.001451859414561672
FI,0.04862232624170523
FR,0.0001950260113070301
DE,2.0958471242331674e-05
HK,0.0005986000184928014
HU,5.8253569408926076e-05
IN,0.0009875736485809028
IQ,3.513352655309504e-06
IL,0.00019680776270342273
IT,8.296863885829138e-05
JP,1.2812742204485182e-05
JO,0.0011553097537664186
KE,5.034715709515188e-05
LV,0.01540635045960787
LB,0.0023962975132587115
MW,0.018730724108175015
MY,1.3070239605093792e-05
MU,0.004075705159317459
MX,0.0007221933251230483
MA,1.3544253757535597e-05
MZ,0.007816448567380707
NA,0.003213849626911563
MP,0.002936382736452567
NO,0.013746058772629424
PK,0.0025099765316642926
PH,4.7374953968982874e-05
PT,0.04083601460864848
RO,7.3596074168762755e-06
RU,3.1084882167685996e-05
SC,0.012544403947482727
SK,0.08649260616361125
ZA,0.008850054010549765
ES,2.6023531691394703e-05
CH,9.914719502958481e-05
TH,0.00012463465761165495
TL,0.004061620622245771
US,0.08220010073468002
UG,0.0011573119607573925
GB,0.34219198564740827
ZW,0.009723271300564941
