alpha2,proportion
AO,3.722003554513395e-05
AU,8.009333993527279e-06
CA,3.342461783309241e-05
CN,1.1070278333567252e-07
EE,2.129503285168337e-05
ET,3.990622038210206e-06
FI,4.467524431357487e-05
FR,2.6668383016445416e-06
DE,7.804826067369802e-08
IN,3.108296238037944e-07
IL,2.0654508321494857e-07
IT,1.7584789740539794e-06
JO,5.724108284101232e-07
LV,1.534110957131826e-05
NO,4.5036602173810816e-05
PT,3.817887474483343e-05
SK,5.325287179424369e-07
ZA,2.4553506756388456e-07
ES,1.5736384093662957e-06
US,7.695518198841923e-06
GB,0.0008523779348876541
ZW,1.5016424213984044e-05
